name,start,end,length,u,kappa,merge_priority
1,1,30,342.1126101972859,20.0,0.2,1
2,1,31,277.1106518992007,20.0,0.2,1
3,1,139,227.76982715891043,20.0,0.2,1
4,1,141,127.03750224244781,20.0,0.2,1
5,2,30,259.89223016473517,20.0,0.2,1
6,2,31,324.63408231422613,20.0,0.2,1
7,2,36,359.64427424887396,20.0,0.2,1
8,2,184,140.1595922511193,20.0,0.2,1
9,3,39,332.0268347965265,48.28813545274347,0.20000000000000004,1
10,4,59,250.00475160484444,40.0,0.2,1
11,4,60,264.74944419205167,20.0,0.2,1
12,4,65,121.53373235443775,20.0,0.2,1
13,5,62,90.90441399624139,20.0,0.2,1
14,5,77,279.185441642737,35.77777777777778,0.2,1
15,6,166,108.60080904394768,20.0,0.2,1
16,6,167,678.3657518855518,40.0,0.2,1
17,6,168,142.96875503409828,20.0,0.2,1
18,7,154,314.6676935896023,40.0,0.2,1
19,7,171,143.4241196033638,20.0,0.2,1
20,7,172,381.1530696452543,20.0,0.2,1
21,8,79,354.2956371958305,20.0,0.2,1
22,8,93,173.4301763361845,20.0,0.2,1
23,8,94,78.22993209763112,20.0,0.2,1
24,8,96,134.26322512512525,20.0,0.2,1
25,9,28,416.20458346827525,20.0,0.2,1
26,9,38,490.26955045158627,20.0,0.2,1
27,9,43,454.0531397314639,20.0,0.2,1
28,9,120,368.943819198804,20.0,0.2,1
29,10,63,325.6104317278555,40.0,0.2,1
30,10,64,319.76158661727936,40.0,0.2,1
31,11,114,364.3169044334893,20.0,0.2,1
32,11,122,337.3008522313577,20.0,0.2,1
33,11,124,347.3738910396116,20.0,0.2,1
34,11,125,246.81121144713032,20.0,0.2,1
35,12,73,323.9915012913144,20.0,0.2,1
36,12,75,382.58273021792286,20.0,0.2,1
37,12,106,314.5688724667467,20.0,0.2,1
38,12,107,350.2283240915852,20.0,0.2,1
39,13,58,415.7994878135362,20.0,0.2,1
40,13,61,328.54550108166114,20.0,0.2,1
41,13,108,207.21204104974285,20.0,0.2,1
42,13,187,363.48544320371275,20.0,0.2,1
43,14,144,335.9925539777629,40.0,0.2,1
44,14,149,272.2104168249262,20.0,0.2,1
45,14,162,280.05875158794805,20.0,0.2,1
46,15,131,496.3031002683745,20.0,0.2,1
47,15,137,368.7850707715809,20.0,0.2,1
48,15,157,276.1731467920084,40.0,0.2,1
49,16,79,190.34518057728764,20.0,0.2,1
50,16,80,217.75244323772776,20.0,0.2,1
51,16,83,246.10369151233806,20.0,0.2,1
52,16,84,290.35514535823233,20.0,0.2,1
53,17,70,645.3435984295494,40.0,0.2,1
54,17,139,536.213137720441,20.0,0.2,1
55,17,140,445.5974119359312,20.0,0.2,1
56,18,28,450.0169696800335,20.0,0.2,1
57,18,29,393.6180373153653,20.0,0.2,1
58,18,38,405.69069326273666,20.0,0.2,1
59,18,43,552.1615931953255,20.0,0.2,1
60,19,26,540.05674535182,20.0,0.2,1
61,19,116,553.5665529094033,20.0,0.2,1
62,19,118,412.91155287785284,20.0,0.2,1
63,19,119,376.0939383983738,20.0,0.2,1
64,20,47,524.6336637397565,20.0,0.2,1
65,20,48,582.0950002439464,20.0,0.2,1
66,20,54,545.5456540244821,20.0,0.2,1
67,20,163,522.1030189723098,20.0,0.2,1
68,21,57,485.4750545403958,20.0,0.2,1
69,21,163,540.1317908844101,20.0,0.2,1
70,21,172,520.3063930647016,20.0,0.2,1
71,21,177,474.6125958600338,20.0,0.2,1
72,22,154,769.5379128087195,20.0,0.2,1
73,22,163,712.803521967309,20.0,0.2,1
74,22,171,836.1205128215669,20.0,0.2,1
75,22,176,499.59000000000015,20.0,0.2,1
76,23,25,760.891911443407,20.0,0.2,1
77,23,49,741.9219041954487,20.0,0.2,1
78,23,51,685.9642513280124,20.0,0.2,1
79,23,190,688.5991281580307,20.0,0.2,1
80,24,27,772.7611320776937,32.68420966620501,0.2,1
81,25,23,760.891911443407,20.0,0.2,1
82,25,26,594.7328668402304,22.642857142857142,0.2,1
83,26,19,540.05674535182,20.0,0.2,1
84,26,24,342.9986583793002,20.884614581360974,0.2,1
85,24,39,755.6954120047317,18.545454545454547,0.2,1
86,24,121,422.15875124175705,25.440001017600043,0.2,1
87,27,51,576.2866099433511,27.17647138754328,0.2,1
88,28,9,416.20458346827525,20.0,0.2,1
89,28,18,450.0169696800335,20.0,0.2,1
90,28,29,341.2593677835089,15.599999554285729,0.2,1
91,28,38,80.40879802608623,43.0,0.2,1
92,29,18,393.6180373153653,20.0,0.2,1
93,29,35,421.50808070545924,22.5,0.2,1
94,30,1,342.1126101972859,20.0,0.2,1
95,30,2,259.89223016473517,20.0,0.2,1
96,30,33,464.67804200865766,21.727272727272727,0.2,1
97,30,184,396.1692411078878,19.09090909090909,0.2,1
98,31,1,277.1106518992007,20.0,0.2,1
99,31,2,324.63408231422613,20.0,0.2,1
100,31,30,65.12847994541274,20.999995800000843,0.2,1
101,31,37,449.93206787247306,28.920001156800048,0.2,1
102,32,31,373.05181543587145,15.71052590235458,0.2,1
103,33,34,64.19755020442723,50.99997450001275,0.2,1
104,34,155,260.34569365028875,18.81818267355376,0.2,1
105,35,36,230.3600219222082,33.54545149586804,0.2,1
106,35,37,66.80913111244578,35.0,0.2,1
107,36,2,359.64427424887396,20.0,0.2,1
108,36,30,220.31082701492448,7.695652341209834,0.2,1
109,37,35,66.80913111244578,35.0,0.2,1
110,37,38,791.5743231055437,37.32353050951561,0.2,1
111,37,142,159.59543508509256,28.33333333333333,0.2,1
112,38,9,490.26955045158627,20.0,0.2,1
113,38,18,405.69069326273666,20.0,0.2,1
114,38,45,127.41918615342078,22.500002250000225,0.2,1
115,33,67,403.9152595532881,46.07142528061247,0.2,1
116,34,32,87.12420239089798,27.75000693750173,0.2,1
117,34,33,64.19755020442723,50.99997450001275,0.2,1
118,39,3,332.0268347965265,40.0,0.2,1
119,39,40,95.83754966087116,14.624998171875228,0.2,1
120,39,46,63.92729346687529,20.999995800000843,0.2,1
121,40,43,416.86075948690626,31.857142857142858,0.2,1
122,39,24,755.6954120047317,27.976744836668484,0.2,1
123,41,42,61.48278783529571,24.750006187501544,0.2,1
124,41,54,815.6393257445351,24.166666666666668,0.2,1
125,41,160,330.05484771473954,37.71428302040835,0.2,1
