name,x,y
1,2922.9359999999997,5553.21
2,3467.25,5804.849999999999
3,3864.3300000000004,3580.98
4,4636.05,3306.96
5,5743.35,2123.232
6,1985.2859999999998,1949.868
7,1824.972,3185.79
8,4447.8,920.874
9,4129.0199999999995,4699.4400000000005
10,5346.3,3107.4900000000002
11,6144.12,2984.4539999999997
12,4315.44,2436.402
13,5040.570000000001,2451.315
14,745.6469999999999,3155.9399999999996
15,978.6629999999999,4108.53
16,4986.51,840.7170000000001
17,2471.82,4969.74
18,3290.16,4626.75
19,5174.79,4268.820000000001
20,3068.34,2781.264
21,2538.93,3702.15
22,2518.4249999999997,2579.94
23,6084.4800000000005,4250.1900000000005
24,4643.52,3761.79
25,5583.03,3677.91
26,4993.9800000000005,3759.93
27,4660.29,3808.38
28,5413.41,3653.6699999999996
29,3735.69,4563.36
30,3595.8900000000003,4874.67
31,3243.57,5672.52
32,3183.8999999999996,5646.42
33,3032.91,5987.549999999999
34,3042.2400000000002,6110.58
35,2986.317,6080.76
36,3426.24,5260.53
37,3333.03,5471.1900000000005
38,3364.7400000000002,5234.43
39,3677.91,4507.4400000000005
40,3060.87,6080.76
41,3003.09,6050.9400000000005
42,3905.3399999999997,3918.39
43,3892.2900000000004,3991.08
44,3903.4500000000003,3873.63
45,3679.77,3211.89
46,3739.41,3196.95
47,3791.61,4395.6
48,3825.1800000000003,4451.52
49,3722.64,4388.13
50,3838.23,3927.6899999999996
51,3843.81,3881.1000000000004
52,3588.42,2850.237
53,3648.0899999999997,2833.461
54,6330.540000000001,3573.51
55,6324.96,3525.06
56,6461.04,3553.02
57,5983.83,3571.65
58,3415.0499999999997,2136.279
59,3538.11,2384.208
60,3478.44,2421.489
61,3834.48,3575.37
62,3828.9,3553.02
63,3278.97,4009.71
64,2190.339,4164.45
65,2909.889,4015.32
66,2167.968,4121.58
67,2164.242,4170.03
68,5450.67,2432.6730000000002
69,5461.86,2451.315
70,4839.24,3170.8799999999997
71,4371.36,3301.35
72,5331.39,2604.174
73,5691.15,2190.339
74,5036.849999999999,3038.52
75,4829.94,3139.1699999999996
76,5027.52,3004.95
77,5724.72,2117.637
78,5747.07,2097.132
79,5115.15,2863.287
80,5150.55,2855.8289999999997
81,5126.34,2894.9759999999997
82,4555.889999999999,3215.61
83,3597.75,6334.259999999999
84,3418.7999999999997,6261.570000000001
85,3407.6099999999997,6289.53
86,4112.25,695.316
87,3836.3700000000003,818.349
88,2233.215,4373.22
89,2195.931,4382.55
90,2167.968,4224.089999999999
91,2324.556,4354.59
92,4054.4700000000003,2244.3990000000003
93,3720.7799999999997,2333.877
94,4056.33,2717.8830000000003
95,4276.29,3064.62
96,5957.7300000000005,1936.818
97,5972.64,1962.915
98,5428.32,2773.8089999999997
99,4798.23,868.68
100,5189.7,762.423
101,5748.93,2950.899
102,5510.34,1028.9940000000001
103,4744.17,883.593
104,4706.91,762.423
105,5650.14,1224.7259999999999
106,5474.91,631.935
107,5517.78,926.466
108,5290.38,2867.013
109,5307.15,115.5753
110,4768.41,702.774
111,5586.75,2669.418
112,5890.62,1174.395
113,4621.14,915.2819999999999
114,4524.21,937.65
115,5487.96,0.0
116,4578.2699999999995,889.1850000000001
117,4680.81,428.748
118,5413.41,391.464
119,4473.87,529.41
120,4283.7300000000005,1135.2479999999998
121,4307.97,1247.094
122,3265.95,1746.678
123,4777.740000000001,2945.307
124,4729.26,2762.622
125,4518.63,2000.199
126,4602.51,2307.777
127,4658.43,2507.238
128,4833.66,2440.131
129,4608.09,2984.4539999999997
130,5926.02,1353.3509999999999
131,6392.07,2365.566
132,6237.33,2443.86
133,6155.3099999999995,2294.73
134,6507.63,2960.22
135,6328.68,2617.221
136,4925.01,4762.83
137,4501.860000000001,4878.39
138,4857.9,4533.54
139,4818.75,4389.99
140,3972.45,5023.8
141,4762.83,4192.41
142,5817.9,3070.2000000000003
143,6606.42,3148.5000000000005
144,5914.86,3245.43
145,6272.76,3195.0899999999997
146,6060.240000000001,3224.91
147,443.66099999999994,4496.25
148,419.42699999999996,4451.52
149,499.584,4416.09
150,415.698,3841.9500000000003
151,542.457,4345.26
152,507.039,4239.0
153,620.751,4321.0199999999995
154,710.229,4404.9
155,650.577,4479.4800000000005
156,587.1959999999999,4496.25
157,699.045,4348.98
158,520.0889999999999,4466.43
159,2723.478,5443.2300000000005
160,2911.752,5040.570000000001
161,3045.96,5584.889999999999
162,3217.47,5172.93
163,3085.11,5113.29
164,456.708,3021.75
165,438.06899999999996,2980.725
166,846.309,2689.9230000000002
167,868.68,2745.846
168,180.8196,3295.77
169,145.4013,3392.7000000000003
170,89.4777,3370.32
171,74.5647,3327.4500000000003
172,109.983,3359.13
173,913.419,2941.578
174,2634.0,5635.23
175,2684.331,5885.01
176,2555.706,5817.9
177,2538.93,5849.61
178,2369.295,5761.9800000000005
179,1800.7379999999998,2859.558
180,2757.03,5959.59
181,2188.476,5627.76
182,2171.6969999999997,5659.47
183,1179.9869999999999,4322.88
184,1174.395,4278.150000000001
185,1655.337,4250.1900000000005
186,1036.4489999999998,3575.37
187,3359.13,3290.16
188,3064.62,3357.2699999999995
189,986.1179999999999,3299.4900000000002
190,2805.498,3232.38
191,3329.31,1030.857
192,3008.7,1166.9370000000001
193,1916.3129999999999,1865.9820000000002
194,1454.0130000000001,2369.295
195,1931.226,1817.514
196,3148.5000000000005,1103.559
197,2563.164,1427.916
198,1426.05,2337.603
199,2553.843,1407.408
200,1966.644,3208.14
201,2069.172,3478.44
202,1811.922,2883.792
203,1513.665,3642.4799999999996
204,1064.412,3715.2
205,1610.598,3778.56
206,2518.4249999999997,3079.53
207,1521.1200000000001,3651.8100000000004
208,2143.737,3964.98
209,2270.4959999999996,3435.5699999999997
210,2199.66,3364.7400000000002
211,2249.991,3415.0499999999997
212,2003.928,5566.26
213,1703.8049999999998,4934.31
214,1621.7820000000002,2572.482
215,3784.17,5418.99
216,3603.33,5838.42
217,3868.05,5225.13
218,3692.8199999999997,5631.51
219,3944.4600000000005,5029.38
220,5344.44,2251.854
221,4431.0,1681.4340000000002
222,6597.12,3485.91
223,6052.799999999999,4938.06
224,0.0,3185.79
